Algorithm,Chunk Size,Uncompressed Size (B),Compressed Size (B),Compression Ratio,Compression Throughput (GB/s),Decompression Throughput (GB/s)
ans,256,1032208980,1820646576,0.5669,7.9099,6.3053
ans,512,1032208980,984015320,1.0490,15.1607,12.3234
ans,1024,1032208980,562948872,1.8336,28.0761,24.6706
ans,2048,1032208980,360343380,2.8645,53.4643,57.5286
ans,4096,1032208980,287543298,3.5898,92.4192,92.3938
ans,8192,1032208980,251113446,4.1105,157.1098,166.0927
ans,16384,1032208980,209105922,4.9363,220.1871,244.9020
ans,32768,1032208980,188425078,5.4781,239.1498,250.3145
ans,65536,1032208980,177584402,5.8125,311.9829,342.3969
bitcomp,256,1032208980,751728240,1.3731,15.5772,20.5575
bitcomp,512,1032208980,634324264,1.6273,26.6382,39.4743
bitcomp,1024,1032208980,575600408,1.7933,51.9168,74.3265
bitcomp,2048,1032208980,546241704,1.8897,100.4301,114.9654
bitcomp,4096,1032208980,531559548,1.9419,193.5887,170.2731
bitcomp,8192,1032208980,522991652,1.9737,383.2763,237.9081
bitcomp,16384,1032208980,520975620,1.9813,426.9448,258.7311
bitcomp,32768,1032208980,519967588,1.9851,473.6920,288.9127
bitcomp,65536,1032208980,519463588,1.9871,413.6301,251.1878
cascaded,256,1032208980,478536084,2.1570,17.2461,20.9336
cascaded,512,1032208980,385517120,2.6775,30.9673,39.4249
cascaded,1024,1032208980,337606840,3.0574,46.5124,63.0917
cascaded,2048,1032208980,313101328,3.2967,68.4608,99.6458
cascaded,4096,1032208980,303183524,3.4046,90.0658,134.7075
cascaded,8192,1032208980,302175508,3.4159,108.5055,175.0637
cascaded,16384,1032208980,301671500,3.4216,102.1190,169.8713
cascaded,32768,1032208980,301419492,3.4245,94.7919,160.9479
cascaded,65536,1032208980,301293492,3.4259,106.6346,182.2815
deflate,256,N/A,N/A,N/A,N/A,N/A
deflate,512,1032208980,339462317,3.0407,5.3526,5.6215
deflate,1024,1032208980,289233309,3.5688,7.5381,11.0629
deflate,2048,1032208980,266303426,3.8761,9.0251,16.3144
deflate,4096,1032208980,260941801,3.9557,10.2661,21.4266
deflate,8192,1032208980,264756419,3.8987,13.2343,25.3360
deflate,16384,1032208980,274354594,3.7623,13.4492,27.4776
deflate,32768,1032208980,286865654,3.5982,13.4179,28.1427
deflate,65536,1032208980,281785372,3.6631,12.9105,28.2168
gdeflate,256,N/A,N/A,N/A,N/A,N/A
gdeflate,512,1032208980,737979984,1.3987,5.7441,21.6285
gdeflate,1024,1032208980,481875220,2.1421,7.5770,42.3270
gdeflate,2048,1032208980,361683308,2.8539,9.2302,61.4008
gdeflate,4096,1032208980,308774168,3.3429,10.5549,76.9478
gdeflate,8192,1032208980,288680892,3.5756,13.5936,84.6219
gdeflate,16384,1032208980,286320256,3.6051,13.9119,87.0255
gdeflate,32768,1032208980,292853228,3.5247,13.7052,87.6231
gdeflate,65536,1032208980,284782244,3.6246,13.1519,85.5121
lz4,256,N/A,N/A,N/A,N/A,N/A
lz4,512,1032208980,452277883,2.2822,18.4571,35.8559
lz4,1024,1032208980,437577877,2.3589,16.0379,46.9325
lz4,2048,1032208980,425444027,2.4262,15.2443,49.5535
lz4,4096,1032208980,417298780,2.4735,14.6960,50.9794
lz4,8192,1032208980,410623219,2.5138,16.6995,51.5953
lz4,16384,1032208980,414965039,2.4875,16.2807,50.3329
lz4,32768,1032208980,413173451,2.4982,13.0708,48.4274
lz4,65536,1032208980,412237133,2.5039,14.5325,46.4781
snappy,256,1032208980,435862850,2.3682,13.0087,30.1973
snappy,512,1032208980,374426250,2.7568,12.6895,36.6139
snappy,1024,1032208980,333729819,3.0929,10.9379,46.6761
snappy,2048,1032208980,309068258,3.3397,10.3430,67.1116
snappy,4096,1032208980,295028489,3.4987,9.6990,61.7847
snappy,8192,1032208980,287168298,3.5944,9.7305,79.3089
snappy,16384,1032208980,282964179,3.6478,10.7594,81.3245
snappy,32768,1032208980,280687816,3.6774,10.5622,81.5020
snappy,65536,1032208980,279540223,3.6925,10.8635,79.7797
zstd,256,1032208980,434731801,2.3744,1.6344,3.4232
zstd,512,1032208980,314265139,3.2845,2.8720,5.5847
zstd,1024,1032208980,242522245,4.2561,4.5681,10.2033
zstd,2048,1032208980,192957429,5.3494,5.7722,15.1718
zstd,4096,1032208980,171542763,6.0172,8.2888,23.0514
zstd,8192,1032208980,159516579,6.4709,11.0998,29.9818
zstd,16384,1032208980,152934924,6.7493,10.6561,32.8590
zstd,32768,1032208980,149343440,6.9116,11.8909,37.3658
zstd,65536,1032208980,147367773,7.0043,11.7908,41.9517
