Algorithm,Chunk Size,Uncompressed Size (B),Compressed Size (B),Compression Ratio,Compression Throughput (GB/s),Decompression Throughput (GB/s)
ans,256,1032208980,1820646576,0.5669,7.9099,6.3053
ans,512,1032208980,984015320,1.0490,15.1607,12.3234
ans,1024,1032208980,562948872,1.8336,28.0761,24.6706
ans,2048,1032208980,360343380,2.8645,53.4643,57.5286
ans,4096,1032208980,287543298,3.5898,92.4192,92.3938
ans,8192,1032208980,251113446,4.1105,157.1098,166.0927
ans,16384,1032208980,209105922,4.9363,220.1871,244.9020
ans,32768,1032208980,188425078,5.4781,239.1498,250.3145
ans,65536,1032208980,177584402,5.8125,311.9829,342.3969
ans,1048576,1032208980,167374220,6.1671,319.2957,348.1923
ans,2097152,1032208980,167230306,6.1724,313.0486,338.3741
ans,4194304,1032208980,167158914,6.1750,293.8824,338.3741
ans,8388608,1032208980,167130302,6.1761,254.8070,338.2606
ans,16777216,1032208980,166671026,6.1931,187.6078,296.0401
ans,33554432,N/A,N/A,N/A,N/A,N/A
ans,67108864,N/A,N/A,N/A,N/A,N/A
bitcomp,256,1032208980,751728240,1.3731,15.5772,20.5575
bitcomp,512,1032208980,634324264,1.6273,26.6382,39.4743
bitcomp,1024,1032208980,575600408,1.7933,51.9168,74.3265
bitcomp,2048,1032208980,546241704,1.8897,100.4301,114.9654
bitcomp,4096,1032208980,531559548,1.9419,193.5887,170.2731
bitcomp,8192,1032208980,522991652,1.9737,383.2763,237.9081
bitcomp,16384,1032208980,520975620,1.9813,426.9448,258.7311
bitcomp,32768,1032208980,519967588,1.9851,473.6920,288.9127
bitcomp,65536,1032208980,519463588,1.9871,413.6301,251.1878
bitcomp,1048576,1032208980,518991076,1.9889,415.5056,241.6726
bitcomp,2097152,1032208980,518975332,1.9889,374.7274,229.1989
bitcomp,4194304,1032208980,518967460,1.9890,305.0898,147.5434
bitcomp,8388608,1032208980,518963524,1.9890,195.0874,83.4727
bitcomp,16777216,1032208980,518961540,1.9890,123.1241,45.4984
bitcomp,33554432,N/A,N/A,N/A,N/A,N/A
bitcomp,67108864,N/A,N/A,N/A,N/A,N/A
